group,line,x,y
A,dr1s,115.9394,-21.025
B,dr2s,115.9490269,-21.02204036
C,dr3s,115.9394366,-21.01897688
A,dr1e,115.9490269,-21.02204036
B,dr2e,115.9394366,-21.01897688
C,dr3e,115.9490639,-21.01601727
