"transect","strata","x.start","y.start","x.end","y.end"
1,"A",115.654915650611,-20.8493361540027,115.64527901367,-20.8522714825019
2,"A",115.64527901367,-20.8522714825019,115.654862102289,-20.855358355379
3,"A",115.654862102289,-20.855358355379,115.645225073479,-20.8582936578241
4,"B",115.761141864978,-20.7868979323148,115.751510975586,-20.7898395704169
5,"B",115.751510975586,-20.7898395704169,115.761092706275,-20.7929204306247
6,"B",115.761092706275,-20.7929204306247,115.751461427123,-20.7958620445736
7,"C",115.942464745233,-20.9597687443401,115.93282564988,-20.96272019018
8,"C",115.93282564988,-20.96272019018,115.942422398945,-20.965791505049
9,"C",115.942422398945,-20.965791505049,115.932782911079,-20.9687429299196
10,"D",115.749364414888,-21.0488020307801,115.739716290322,-21.0517420603752
11,"D",115.739716290322,-21.0517420603752,115.749314104614,-21.0548243175442
12,"D",115.749314104614,-21.0548243175442,115.739665584232,-21.0577643227185
13,"E",115.759733968443,-20.9585374321807,115.750091917005,-20.9614783810521
14,"E",115.750091917005,-20.9614783810521,115.759684309404,-20.9645598065659
15,"E",115.759684309404,-20.9645598065659,115.750041864284,-20.967500731221
16,"F",115.83750724704,-20.8506731928265,115.827873480532,-20.8536189757514
17,"F",115.827873480532,-20.8536189757514,115.837460963455,-20.8566958154888
18,"F",115.837460963455,-20.8566958154888,115.827826806233,-20.8596415756027
19,"G",115.942845186788,-20.9055637031177,115.933209617858,-20.9085153375918
20,"G",115.933209617858,-20.9085153375918,115.942802975475,-20.9115865027829
21,"G",115.942802975475,-20.9115865027829,115.933167015271,-20.9145381163055
22,"H",115.747923590438,-21.2204354832755,115.738264130811,-21.2233748159941
23,"H",115.738264130811,-21.2233748159941,115.747872771952,-21.2264576447838
24,"H",115.747872771952,-21.2264576447838,115.738212912554,-21.2293969530172
25,"I",115.856523267203,-20.8779045640002,115.846888050596,-20.8808513446703
26,"I",115.846888050596,-20.8808513446703,115.856477675615,-20.8839272079546
27,"I",115.856477675615,-20.8839272079546,115.846842067797,-20.8868739661457
28,"J",115.963064079793,-20.7611322184261,115.953438173828,-20.7640854472208
29,"J",115.953438173828,-20.7640854472208,115.963022988264,-20.7671551585674
30,"J",115.963022988264,-20.7671551585674,115.953396694442,-20.7701083667984
31,"K",116.068723077848,-20.7617373523296,116.059098918654,-20.7646965819978
32,"K",116.059098918654,-20.7646965819978,116.068686171797,-20.7677604838304
33,"K",116.068686171797,-20.7677604838304,116.059061625431,-20.7707196948093
34,"L",115.728346044058,-21.2564240932977,115.71868387365,-21.2593621554236
35,"L",115.71868387365,-21.2593621554236,115.728294335076,-21.2624461835795
36,"L",115.728294335076,-21.2624461835795,115.718631763941,-21.2653842208634
37,"M",115.653948864828,-20.9577351101961,115.64430515318,-20.9606699693601
38,"M",115.64430515318,-20.9606699693601,115.653894973252,-20.9637572328563
39,"M",115.653894973252,-20.9637572328563,115.644250867255,-20.9666920659237
40,"N",115.982092921113,-20.7883504337426,115.972465584095,-20.7913046632841
41,"N",115.972465584095,-20.7913046632841,115.982052525802,-20.7943733908725
42,"N",115.982052525802,-20.7943733908725,115.972424800435,-20.7973276001826
43,"O",115.691391369063,-21.0754668856955,115.681740546755,-21.0784034643818
44,"O",115.681740546755,-21.0784034643818,115.691338654014,-21.0814890167581
45,"O",115.691338654014,-21.0814890167581,115.681687434903,-21.0844255699863
46,"P",115.874260172878,-21.0767782898647,115.864612288064,-21.0797254390131
47,"P",115.864612288064,-21.0797254390131,115.874214820285,-21.0828008304937
48,"P",115.874214820285,-21.0828008304937,115.864566539831,-21.0857479574365
49,"Q",115.730882993277,-20.9583251222468,115.721240485329,-20.9612644111926
50,"Q",115.721240485329,-20.9612644111926,115.730832179821,-20.9643474300204
51,"Q",115.730832179821,-20.9643474300204,115.721189278008,-20.9672866942371
52,"R",115.8844907002,-20.9955368630308,115.874848299872,-20.9984848650223
53,"R",115.874848299872,-20.9984848650223,115.884445949346,-21.0015594823064
54,"R",115.884445949346,-21.0015594823064,115.874803155306,-21.0045074622911
55,"S",115.691864967022,-21.0212675084825,115.682217709721,-21.0242043161878
56,"S",115.682217709721,-21.0242043161878,115.691812419428,-21.0272896790625
57,"S",115.691812419428,-21.0272896790625,115.682164766569,-21.0302264613306
58,"T",115.835760325193,-21.0765185697465,115.826111812616,-21.0794634958156
59,"T",115.826111812616,-21.0794634958156,115.835713422399,-21.0825410292614
60,"T",115.835713422399,-21.0825410292614,115.826064513935,-21.0854859324402
