"transect","strata","x.start","y.start","x.end","y.end"
1,"A",115.991167241071,-21.0052369604934,115.981526012666,-21.0081910658478
2,"A",115.981526012666,-21.0081910658478,115.99112674883,-21.0112597818882
3,"A",115.99112674883,-21.0112597818882,115.981485127195,-21.0142138671298
4,"B",115.934529484039,-20.8513044260716,115.924897288104,-20.8542557526056
5,"B",115.924897288104,-20.8542557526056,115.934487061443,-20.8573272476309
6,"B",115.934487061443,-20.8573272476309,115.924854475415,-20.8602785530768
7,"C",115.758777556253,-21.1843802197924,115.749120661861,-21.1873203123564
8,"C",115.749120661861,-21.1873203123564,115.758727272085,-21.1904024319351
9,"C",115.758727272085,-21.1904024319351,115.749069978824,-21.1933425002154
10,"D",115.876865231984,-20.8509358858643,115.867232098803,-20.8538839185717
11,"D",115.867232098803,-20.8538839185717,115.876820514584,-20.8569585912991
12,"D",115.876820514584,-20.8569585912991,115.86718699094,-20.8599066018944
13,"E",115.885138935228,-21.0316785285956,115.87549418556,-21.0346264513352
14,"E",115.87549418556,-21.0346264513352,115.885094126088,-21.0377011236455
15,"E",115.885094126088,-21.0377011236455,115.875448981885,-21.0406490243823
16,"F",115.710463406354,-21.2020860064631,115.700804543137,-21.2050232246159
17,"F",115.700804543137,-21.2050232246159,115.710411117335,-21.2081080932546
18,"F",115.710411117335,-21.2081080932546,115.700751854527,-21.2110452862594
19,"G",115.65356751829,-21.1022721292978,115.643914318454,-21.1052064146736
20,"G",115.643914318454,-21.1052064146736,115.653513204273,-21.1082941487512
21,"G",115.653513204273,-21.1082941487512,115.643859606772,-21.1112284079895
22,"H",115.827406557904,-21.0312901719034,115.817760869189,-21.0342347677678
23,"H",115.817760869189,-21.0342347677678,115.827359429615,-21.0373126454506
24,"H",115.827359429615,-21.0373126454506,115.817713345996,-21.0402572182858
25,"I",116.059472799661,-20.8520363317786,116.049842672581,-20.8549947854157
26,"I",116.049842672581,-20.8549947854157,116.059435349881,-20.8580593839582
27,"I",116.059435349881,-20.8580593839582,116.049804833517,-20.861017818725
28,"J",115.826626807441,-21.1306604267307,115.816974585106,-21.1336046423409
29,"J",115.816974585106,-21.1336046423409,115.82657940369,-21.136682828138
30,"J",115.82657940369,-21.136682828138,115.816926784167,-21.1396270206838
31,"K",115.682843356404,-21.0573331744094,115.673193586776,-21.0602693259181
32,"K",115.673193586776,-21.0602693259181,115.682790347071,-21.0633552976232
33,"K",115.682790347071,-21.0633552976232,115.673140181,-21.0662914235259
34,"L",115.876125359781,-20.9503099717907,115.866485766371,-20.9532576393869
35,"L",115.866485766371,-20.9532576393869,115.876080379648,-20.9563326057246
36,"L",115.876080379648,-20.9563326057246,115.866440393504,-20.9592802511749
37,"M",116.010884466606,-20.9330753046808,116.001248266489,-20.9360307522511
38,"M",116.001248266489,-20.9360307522511,116.010844914916,-20.9390982133514
39,"M",116.010844914916,-20.9390982133514,116.001208323347,-20.9420536411731
40,"N",115.827052689243,-21.076458617085,115.817404035373,-21.0794030401788
41,"N",115.817404035373,-21.0794030401788,115.827005435847,-21.082481057876
42,"N",115.827005435847,-21.082481057876,115.817356386034,-21.0854254579246
43,"O",115.682445329555,-21.1024989913503,115.672792583224,-21.1054349507564
44,"O",115.672792583224,-21.1054349507564,115.682392179616,-21.1085210815799
45,"O",115.682392179616,-21.1085210815799,115.672739035802,-21.1114570153624
46,"P",115.779517830573,-21.003850866114,115.769873144613,-21.0067927949388
47,"P",115.769873144613,-21.0067927949388,115.779468847904,-21.0098732533898
48,"P",115.779468847904,-21.0098732533898,115.769823767354,-21.0128151583399
49,"Q",116.029650724863,-21.0054607118538,116.020010141248,-21.0084170271178
50,"Q",116.020010141248,-21.0084170271178,116.029611776659,-21.0114836033274
51,"Q",116.029611776659,-21.0114836033274,116.019970800064,-21.0144398991623
52,"R",115.807586794444,-21.1034252573364,115.79793604574,-21.1063684630336
53,"R",115.79793604574,-21.1063684630336,115.807538689622,-21.1094476365438
54,"R",115.807538689622,-21.1094476365438,115.797887544229,-21.1123908188437
55,"S",115.654946058457,-20.9487091471594,115.645302952288,-20.9516440982368
56,"S",115.645302952288,-20.9516440982368,115.654892232174,-20.9547312786612
57,"S",115.654892232174,-20.9547312786612,115.645248731868,-20.9576662036617
58,"T",115.636856132033,-20.8220916329681,115.62722097572,-20.8250260306176
59,"T",115.62722097572,-20.8250260306176,115.63680194239,-20.8281138083726
60,"T",115.63680194239,-20.8281138083726,115.627166394713,-20.8310481796536
