"transect","strata","x.start","y.start","x.end","y.end"
1,"A",115.826555695544,-21.1396940271988,115.816902877374,-21.1426382082115
2,"A",115.816902877374,-21.1426382082115,115.82650826671,-21.1457164220341
3,"A",115.82650826671,-21.1457164220341,115.816855051143,-21.1486605799792
4,"B",115.730268325862,-21.1389993344284,115.720613956463,-21.1419379337434
5,"B",115.720613956463,-21.1419379337434,115.730217007691,-21.1450215128353
6,"B",115.730217007691,-21.1450215128353,115.720562240282,-21.1479600873693
7,"C",115.92395188833,-20.9867563638329,115.91431072366,-20.989706662783
8,"C",115.91431072366,-20.989706662783,115.923908740111,-20.9927790690615
9,"C",115.923908740111,-20.9927790690615,115.91426718219,-20.995729346708
10,"D",115.800124805573,-20.832346655406,115.790491612078,-20.8352903624832
11,"D",115.790491612078,-20.8352903624832,115.800077079745,-20.838369209503
12,"D",115.800077079745,-20.838369209503,115.79044349571,-20.8413128931093
13,"E",115.778633486873,-21.1122531679709,115.76898167714,-21.1151946667154
14,"E",115.76898167714,-21.1151946667154,115.778584191593,-21.1182754764694
15,"E",115.778584191593,-21.1182754764694,115.768931984781,-21.1212169512996
16,"F",115.730729375573,-21.0847995309563,115.721078582027,-21.0877383531973
17,"F",115.721078582027,-21.0877383531973,115.730678220128,-21.0908217489128
18,"F",115.730678220128,-21.0908217489128,115.72102702982,-21.0937605463934
19,"G",115.905238942791,-20.9143613915262,115.895602172063,-20.9173108445906
20,"G",115.895602172063,-20.9173108445906,115.905195209948,-20.9203841103673
21,"G",115.905195209948,-20.9203841103673,115.895558047498,-20.9233335418105
22,"H",115.654865311875,-20.9577423427691,115.645221614449,-20.9606772547303
23,"H",115.645221614449,-20.9606772547303,115.654811456964,-20.9637644676985
24,"H",115.654811456964,-20.9637644676985,115.645167365195,-20.9666993535794
25,"I",115.729419259808,-21.2383647149112,115.719758305474,-21.2413029050479
26,"I",115.719758305474,-21.2413029050479,115.729367642608,-21.2443868205935
27,"I",115.729367642608,-21.2443868205935,115.719706287971,-21.2473249859115
28,"J",116.097540154497,-20.9154857148867,116.087906582786,-20.9184461677763
29,"J",116.087906582786,-20.9184461677763,116.097504100774,-20.9215087871148
30,"J",116.097504100774,-20.9215087871148,116.087870138587,-20.9244692217979
31,"K",115.895425579833,-20.9414016074639,115.885786888293,-20.9443504116463
32,"K",115.885786888293,-20.9443504116463,115.895381392611,-20.9474242873429
33,"K",115.895381392611,-20.9474242873429,115.885742308667,-20.9503730697241
34,"L",115.856203622739,-21.0405206004424,115.846557810017,-21.0434668263137
35,"L",115.846557810017,-21.0434668263137,115.856157629602,-21.0465431289677
36,"L",115.856157629602,-21.0465431289677,115.846511421952,-21.0494893323199
37,"M",115.643119107496,-21.1925248856796,115.63345977666,-21.195458218011
38,"M",115.63345977666,-21.195458218011,115.643064115449,-21.1985468149456
39,"M",115.643064115449,-21.1985468149456,115.633404384805,-21.2014801209321
40,"N",116.049634391195,-20.8881214153833,116.040001764978,-20.8910792069741
41,"N",116.040001764978,-20.8910792069741,116.049596478103,-20.8941444250273
42,"N",116.049596478103,-20.8941444250273,116.039963461714,-20.8971021975663
43,"O",115.770415141787,-20.9405465094051,115.760774437736,-20.9434881362188
44,"O",115.760774437736,-20.9434881362188,115.770365956583,-20.9465689208075
45,"O",115.770365956583,-20.9465689208075,115.76072485933,-20.9495105235988
46,"P",115.674257743825,-20.9398264520189,115.66461552736,-20.9427625490631
47,"P",115.66461552736,-20.9427625490631,115.674204714829,-20.9458486373459
48,"P",115.674204714829,-20.9458486373459,115.664562104555,-20.9487847086586
49,"Q",115.826128233646,-21.1938954228555,115.81647183391,-21.1968393961819
50,"Q",115.81647183391,-21.1968393961819,115.826080654168,-21.1999177782102
51,"Q",115.826080654168,-21.1999177782102,115.816423855787,-21.2028617284497
52,"R",115.972234707736,-20.9599507949172,115.962596104565,-20.9629039482012
53,"R",115.962596104565,-20.9629039482012,115.972193552991,-20.9659736127448
54,"R",115.972193552991,-20.9659736127448,115.962554557499,-20.9689267455885
55,"S",115.857370961183,-20.8869446527885,115.847735172481,-20.8898914521898
56,"S",115.847735172481,-20.8898914521898,115.857325381819,-20.8929672921696
57,"S",115.857325381819,-20.8929672921696,115.847689201706,-20.8959140691051
58,"T",115.64589810923,-20.8854006495394,115.636258984796,-20.8883353222778
59,"T",115.636258984796,-20.8883353222778,115.645844100026,-20.8914228031157
60,"T",115.645844100026,-20.8914228031157,115.636204582843,-20.8943574496314
