"transect","strata","x.start","y.start","x.end","y.end"
1,"A",116.049634391195,-20.8881214153833,116.040001764978,-20.8910792069741
2,"A",116.040001764978,-20.8910792069741,116.049596478103,-20.8941444250273
3,"A",116.049596478103,-20.8941444250273,116.039963461714,-20.8971021975663
4,"B",115.992255122369,-20.842619148299,115.982624459128,-20.8455737959837
5,"B",115.982624459128,-20.8455737959837,115.992215016196,-20.8486420863267
6,"B",115.992215016196,-20.8486420863267,115.98258396344,-20.8515967139497
7,"C",115.664401722461,-20.9668511611706,115.654757582964,-20.9697865882451
8,"C",115.654757582964,-20.9697865882451,115.664348223858,-20.9728733032463
9,"C",115.664348223858,-20.9728733032463,115.65470368987,-20.9758087044078
10,"D",115.768782802474,-21.1392837787171,115.759129049821,-21.1422246116217
11,"D",115.759129049821,-21.1422246116217,115.768733039951,-21.1453060457411
12,"D",115.768733039951,-21.1453060457411,115.759078889533,-21.1482468545501
13,"E",116.068358851469,-20.9695379210939,116.058721271088,-20.9724965574583
14,"E",116.058721271088,-20.9724965574583,116.068321526794,-20.9755609058409
15,"E",116.068321526794,-20.9755609058409,116.05868355451,-20.9785195234706
16,"F",115.991953978245,-20.8877910784915,115.982320390293,-20.8907455756675
17,"F",115.982320390293,-20.8907455756675,115.991913765021,-20.8938139841959
18,"F",115.991913765021,-20.8938139841959,115.982279786524,-20.8967684612961
19,"G",115.644923005557,-20.9937987441178,115.63527679054,-20.9967329444819
20,"G",115.63527679054,-20.9967329444819,115.644868650507,-20.9998208188351
21,"G",115.644868650507,-20.9998208188351,115.635222040258,-21.0027549929336
22,"H",115.643119107496,-21.1925248856796,115.63345977666,-21.195458218011
23,"H",115.63345977666,-21.195458218011,115.643064115449,-21.1985468149456
24,"H",115.643064115449,-21.1985468149456,115.633404384805,-21.2014801209321
25,"I",115.914462997406,-20.9686272348592,115.904822853788,-20.9715770455223
26,"I",115.904822853788,-20.9715770455223,115.914419509888,-20.9746499339766
27,"I",115.914419509888,-20.9746499339766,115.904778973369,-20.9775997231712
28,"J",115.895425579833,-20.9414016074639,115.885786888293,-20.9443504116463
29,"J",115.885786888293,-20.9443504116463,115.895381392611,-20.9474242873429
30,"J",115.895381392611,-20.9474242873429,115.885742308667,-20.9503730697241
31,"K",115.751407912398,-20.9133061228361,115.741768671631,-20.9162467539105
32,"K",115.741768671631,-20.9162467539105,115.75135803806,-20.9193285099996
33,"K",115.75135803806,-20.9193285099996,115.74171840459,-20.9222691167199
34,"L",115.671529215335,-21.2469523025517,115.661866738154,-21.2498870842915
35,"L",115.661866738154,-21.2498870842915,115.671475222828,-21.2529742633743
36,"L",115.671475222828,-21.2529742633743,115.661812344768,-21.2559090192624
37,"M",115.91413646524,-21.013797372421,115.904493371509,-21.0167470220212
38,"M",115.904493371509,-21.0167470220212,115.914092862069,-21.0198200389679
39,"M",115.914092862069,-21.0198200389679,115.904449374403,-21.0227696670845
40,"N",115.789864763294,-20.9135829220312,115.7802261326,-20.9165257604285
41,"N",115.7802261326,-20.9165257604285,115.789816424166,-20.919605396194
42,"N",115.789816424166,-20.919605396194,115.780177401013,-20.9225482109205
43,"O",115.713567189811,-20.8407527605622,115.703932048543,-20.8436914833768
44,"O",115.703932048543,-20.8436914833768,115.71351599908,-20.8467751102965
45,"O",115.71351599908,-20.8467751102965,115.703880466518,-20.849713808101
46,"P",115.644023683896,-21.0931624148154,115.634370929843,-21.0960961814898
47,"P",115.634370929843,-21.0960961814898,115.643969010827,-21.0991844169486
48,"P",115.643969010827,-21.0991844169486,115.634315859257,-21.1021181573179
49,"Q",115.944014148102,-20.8694324701648,115.93438093895,-20.8723842826426
50,"Q",115.93438093895,-20.8723842826426,115.94397206314,-20.8754552975355
51,"Q",115.94397206314,-20.8754552975355,115.934338463545,-20.8784070890898
52,"R",115.799263140329,-20.9407519650578,115.789622896051,-20.9436952493291
53,"R",115.789622896051,-20.9436952493291,115.799215108403,-20.9467744409672
54,"R",115.799215108403,-20.9467744409672,115.789574471107,-20.9497177017287
55,"S",115.817070136418,-21.1215598725096,115.807418353265,-21.1245035653985
56,"S",115.807418353265,-21.1245035653985,115.817022369189,-21.1275822596158
57,"S",115.817022369189,-21.1275822596158,115.807370188993,-21.1305259292723
58,"T",115.721258871429,-21.0666606424348,115.711609114665,-21.0695989824122
59,"T",115.711609114665,-21.0695989824122,115.721207382916,-21.0726828509966
60,"T",115.721207382916,-21.0726828509966,115.711557229745,-21.0756211660493
