"transect","strata","x.start","y.start","x.end","y.end"
1,"A",115.923433100406,-21.0590285398461,115.913787207605,-21.0619785830208
2,"A",115.913787207605,-21.0619785830208,115.923389768606,-21.0650511929153
3,"A",115.923389768606,-21.0650511929153,115.913743480896,-21.0680012147624
4,"B",115.943190790598,-20.9868768239396,115.933549942985,-20.9898282280559
5,"B",115.933549942985,-20.9898282280559,115.943148413482,-20.9928995669227
6,"B",115.943148413482,-20.9928995669227,115.933507172742,-20.9958509500772
7,"C",116.03075496297,-20.8338064895807,116.021125521422,-20.8367633577993
8,"C",116.021125521422,-20.8367633577993,116.030716406692,-20.8398295039906
9,"C",116.030716406692,-20.8398295039906,116.021086576083,-20.8427863528327
10,"D",115.85641039065,-21.0134191681399,115.84676635339,-21.0163654953211
11,"D",115.84676635339,-21.0163654953211,115.856364470671,-21.0194417162765
12,"D",115.856364470671,-21.0194417162765,115.846720039106,-21.0223880209481
13,"E",115.749145996687,-21.1843092167756,115.739488947492,-21.1872487496946
14,"E",115.739488947492,-21.1872487496946,115.749095322573,-21.1903314068364
15,"E",115.749095322573,-21.1903314068364,115.739437874449,-21.1932709153002
16,"F",115.894894298232,-21.0136734794918,115.885250888749,-21.0166220219257
17,"F",115.885250888749,-21.0166220219257,115.894849922766,-21.0196961072496
18,"F",115.894849922766,-21.0196961072496,115.885206119224,-21.0226446278579
19,"G",116.078309474669,-20.9153830222739,116.068675577487,-20.9183423765791
20,"G",116.068675577487,-20.9183423765791,116.078272652932,-20.9214060622244
21,"G",116.078272652932,-20.9214060622244,116.068638365149,-20.9243653979817
22,"H",115.655107422836,-20.9306427263768,115.645465498249,-20.9335777556704
23,"H",115.645465498249,-20.9335777556704,115.655053653785,-20.9366648710162
24,"H",115.655053653785,-20.9366648710162,115.645411335475,-20.9395998742401
25,"I",115.692229525446,-21.0845071529139,115.682578122342,-21.087443746523
26,"I",115.682578122342,-21.087443746523,115.692176819403,-21.0905292795901
27,"I",115.692176819403,-21.0905292795901,115.682525019293,-21.0934658477539
28,"J",116.078032992963,-20.9605557168777,116.06839616292,-20.9635149320307
29,"J",116.06839616292,-20.9635149320307,116.077996073146,-20.9665787245021
30,"J",116.077996073146,-20.9665787245021,116.068358851469,-20.9695379210939
31,"K",115.721952187238,-20.9853603978077,115.712307768443,-20.9882990740464
32,"K",115.712307768443,-20.9882990740464,115.721900944027,-20.9913826655187
33,"K",115.721900944027,-20.9913826655187,115.712256130691,-20.9943213168634
34,"L",115.703803059083,-20.8587472870231,115.694166593562,-20.8616853840162
35,"L",115.694166593562,-20.8616853840162,115.703751431191,-20.8647696008603
36,"L",115.703751431191,-20.8647696008603,115.694114573902,-20.8677076726658
37,"M",115.702089630178,-21.0574813376708,115.692440163536,-21.0604186022559
38,"M",115.692440163536,-21.0604186022559,115.702037394884,-21.0635035071899
39,"M",115.702037394884,-21.0635035071899,115.692387531919,-21.0664407465113
40,"N",115.924468475876,-20.9144835628646,115.914832019479,-20.9174341173026
41,"N",115.914832019479,-20.9174341173026,115.924425510839,-20.9205063201052
42,"N",115.924425510839,-20.9205063201052,115.914788662843,-20.9234568532636
43,"O",115.770267533839,-20.9586137305354,115.760625649769,-20.9615552852753
44,"O",115.760625649769,-20.9615552852753,115.770218296294,-20.964636128859
45,"O",115.770218296294,-20.964636128859,115.760576018609,-20.9675776595697
46,"P",115.799909905617,-20.8594481146977,115.790274953605,-20.8623917161391
47,"P",115.790274953605,-20.8623917161391,115.799862103358,-20.8654706492792
48,"P",115.799862103358,-20.8654706492792,115.790226760187,-20.86841422724
49,"Q",115.817356386034,-21.0854254579246,115.807706982226,-21.0883692901633
50,"Q",115.807706982226,-21.0883692901633,115.817308719864,-21.0914478712964
51,"Q",115.817308719864,-21.0914478712964,115.807658919844,-21.0943916803156
52,"R",116.069195164799,-20.8340196251081,116.059566365865,-20.8369786825295
53,"R",116.059566365865,-20.8369786825295,116.069158137111,-20.8400427067244
54,"R",116.069158137111,-20.8400427067244,116.059528949367,-20.8430017454514
55,"S",115.846580997898,-21.0404555716748,115.836935028731,-21.0434012427719
56,"S",115.836935028731,-21.0434012427719,115.846534618035,-21.0464780798621
57,"S",115.846534618035,-21.0464780798621,115.836888253878,-21.0494237282691
58,"T",115.876260204518,-20.9322420439448,115.866621788482,-20.9351897779665
59,"T",115.866621788482,-20.9351897779665,115.876215272213,-20.9382646908997
60,"T",115.876215272213,-20.9382646908997,115.866576463857,-20.9412124027816
