"transect","strata","x.start","y.start","x.end","y.end"
1,"A",116.059078912447,-20.9152781651234,116.049444691031,-20.9182364205319
2,"A",116.049444691031,-20.9182364205319,116.059041322719,-20.9213011721159
3,"A",116.059041322719,-20.9213011721159,116.049406710576,-20.9242594086352
4,"B",115.915372680228,-20.8421495528079,115.905740755709,-20.8450998138472
5,"B",115.905740755709,-20.8450998138472,115.915329515703,-20.8481723428158
6,"B",115.915329515703,-20.8481723428158,115.905697201173,-20.8511225824286
7,"C",115.7408864204,-21.021637472893,115.731239937032,-21.0245771101539
8,"C",115.731239937032,-21.0245771101539,115.740835840698,-21.0276597592608
9,"C",115.740835840698,-21.0276597592608,115.731188962082,-21.0305993719562
10,"D",115.807875066938,-21.067290890175,115.798226695455,-21.0702342362103
11,"D",115.798226695455,-21.0702342362103,115.80782706394,-21.0733132956393
12,"D",115.80782706394,-21.0733132956393,115.7981782966,-21.0762566182903
13,"E",116.069139618327,-20.8430542459222,116.059510236127,-20.8460132753013
14,"E",116.059510236127,-20.8460132753013,116.069102570878,-20.8490773210966
15,"E",116.069102570878,-20.8490773210966,116.059472799661,-20.8520363317786
16,"F",115.837936693034,-20.9139167508443,115.828298831905,-20.9168623466877
17,"F",115.828298831905,-20.9168623466877,115.837890273075,-20.9199393299315
18,"F",115.837890273075,-20.9199393299315,115.828252019792,-20.9228849029581
19,"G",115.683161019122,-21.0212003428991,115.673513625249,-21.0241366479951
20,"G",115.673513625249,-21.0241366479951,115.683108122137,-21.0272224924583
21,"G",115.683108122137,-21.0272224924583,115.673460332651,-21.0301587719623
22,"H",115.63257116472,-21.2918081328458,115.6229050671,-21.2947404665406
23,"H",115.6229050671,-21.2947404665406,115.632515460402,-21.2978299647995
24,"H",115.632515460402,-21.2978299647995,115.622848960615,-21.3007622719378
25,"I",116.01046847369,-20.9963156301654,116.000828156459,-20.9992708702828
26,"I",116.000828156459,-20.9992708702828,116.010428774544,-21.0023384934351
27,"I",116.010428774544,-21.0023384934351,116.000788064415,-21.0052937137843
28,"J",115.790082077135,-20.886481734488,115.780445210804,-20.8894246793771
29,"J",115.780445210804,-20.8894246793771,115.790033815175,-20.8925042282156
30,"J",115.790033815175,-20.8925042282156,115.780396557005,-20.8954471494436
31,"K",115.683636250322,-20.9670007995635,115.673992410747,-20.9699373348826
32,"K",115.673992410747,-20.9699373348826,115.683583521629,-20.9730229885707
33,"K",115.683583521629,-20.9730229885707,115.673939287685,-20.9759594983189
34,"L",115.681405517894,-21.2199289556709,115.671744995611,-21.2228644149918
35,"L",115.671744995611,-21.2228644149918,115.681352001473,-21.2259509598687
36,"L",115.681352001473,-21.2259509598687,115.671691078998,-21.2288863935201
37,"M",115.943127219296,-20.9959109367875,115.93348578194,-20.9988623094605
38,"M",115.93348578194,-20.9988623094605,115.943084819665,-21.0019336732632
39,"M",115.943084819665,-21.0019336732632,115.933442988974,-21.0048850249714
40,"N",115.759979071662,-21.0398458104244,115.75033170849,-21.0427864851267
41,"N",115.75033170849,-21.0427864851267,115.759929211568,-21.0458681279077
42,"N",115.759929211568,-21.0458681279077,115.750281452854,-21.0488087783799
43,"O",115.684503579046,-20.8676340496611,115.674866226653,-20.8705710065656
44,"O",115.674866226653,-20.8705710065656,115.684451158176,-20.8736563107705
45,"O",115.684451158176,-20.8736563107705,115.674813413688,-20.8765932421425
46,"P",115.662788503505,-21.1475135127909,115.653132469113,-21.1504481614473
47,"P",115.653132469113,-21.1504481614473,115.662734434651,-21.1535355229366
48,"P",115.662734434651,-21.1535355229366,115.653078001614,-21.1564701456089
49,"Q",115.9146585006,-20.9415250351582,115.905020123327,-20.9444749424049
50,"Q",115.905020123327,-20.9444749424049,115.914615082398,-20.9475477537902
51,"Q",115.914615082398,-20.9475477537902,115.904976312845,-20.9504976395774
52,"R",115.866372304042,-20.9683141607107,115.856731375691,-20.9712612092935
53,"R",115.856731375691,-20.9712612092935,115.866326890954,-20.9743367616356
54,"R",115.866326890954,-20.9743367616356,115.856685569394,-20.9772837878954
55,"S",115.807080846414,-21.1666600204286,115.79742592557,-21.1696029803462
56,"S",115.79742592557,-21.1696029803462,115.80703256313,-21.1726823535974
57,"S",115.80703256313,-21.1726823535974,115.797377244141,-21.1756252900949
58,"T",115.663274265972,-21.0933152230318,115.653621813138,-21.0962501054376
59,"T",115.653621813138,-21.0962501054376,115.66322036852,-21.0993372728547
60,"T",115.66322036852,-21.0993372728547,115.65356751829,-21.1022721292978
