"transect","strata","x.start","y.start","x.end","y.end"
1,"A",116.1076358408,-20.8342241393122,116.098007689418,-20.8371853846893
2,"A",116.098007689418,-20.8371853846893,116.107600341788,-20.8402472854165
3,"A",116.107600341788,-20.8402472854165,116.097971801847,-20.8432085127813
4,"B",115.933378771114,-21.013919090097,115.923735994377,-21.0168698465559
5,"B",115.923735994377,-21.0168698465559,115.933335940262,-21.0199417947521
6,"B",115.933335940262,-21.0199417947521,115.923692769715,-21.0228925300694
7,"C",115.653974262632,-21.0571068430026,115.644324040863,-21.0600413243336
8,"C",115.644324040863,-21.0600413243336,115.653920092301,-21.0631288954816
9,"C",115.653920092301,-21.0631288954816,115.644269473906,-21.066063350693
10,"D",115.704035157572,-20.8316468208705,115.694400453301,-20.8345850311797
11,"D",115.694400453301,-20.8345850311797,115.703983612227,-20.8376691542996
12,"D",115.703983612227,-20.8376691542996,115.694348516807,-20.8406073394315
13,"E",116.030581351676,-20.86091002056,116.020950158276,-20.8638668015695
14,"E",116.020950158276,-20.8638668015695,116.030542733649,-20.866933015614
15,"E",116.030542733649,-20.866933015614,116.020911150571,-20.8698897772387
16,"F",115.826555695544,-21.1396940271988,115.816902877374,-21.1426382082115
17,"F",115.816902877374,-21.1426382082115,115.82650826671,-21.1457164220341
18,"F",115.82650826671,-21.1457164220341,115.816855051143,-21.1486605799792
19,"G",115.652094299841,-21.2648651043541,115.642430314301,-21.2677986831772
20,"G",115.642430314301,-21.2677986831772,115.65203946692,-21.2708870044319
21,"G",115.65203946692,-21.2708870044319,115.642375079961,-21.2738205570528
22,"H",115.732861632721,-20.8318624260828,115.723227378436,-20.8348022862148
23,"H",115.723227378436,-20.8348022862148,115.732811233156,-20.8378848274951
24,"H",115.732811233156,-20.8378848274951,115.723176587904,-20.8408246629618
25,"I",115.914723599038,-20.9324909490846,115.905085809926,-20.9354408885168
26,"I",115.905085809926,-20.9354408885168,115.914680203928,-20.9385136742169
27,"I",115.914680203928,-20.9385136742169,115.905042022743,-20.9414635921926
28,"J",115.86568941657,-21.058652717681,115.856042575592,-21.0615994311997
29,"J",115.856042575592,-21.0615994311997,115.865643761772,-21.0646752532929
30,"J",115.865643761772,-21.0646752532929,115.855996525513,-21.0676219444574
31,"K",115.661975467575,-21.2378432010597,115.652313438916,-21.2407774597054
32,"K",115.652313438916,-21.2407774597054,115.661921112422,-21.2438651448903
33,"K",115.661921112422,-21.2438651448903,115.652258683032,-21.2467993775162
34,"L",115.654379930163,-21.0119413092635,115.644732678671,-21.0148759864158
35,"L",115.644732678671,-21.0148759864158,115.654325903322,-21.0179633947097
36,"L",115.654325903322,-21.0179633947097,115.644678256242,-21.0208980457602
37,"M",115.915437398236,-20.8331153597024,115.905806058475,-20.8360656528776
38,"M",115.905806058475,-20.8360656528776,115.915394256734,-20.8391381561851
39,"M",115.915394256734,-20.8391381561851,115.905762527169,-20.8420884279368
40,"N",115.807947039636,-21.0582572737804,115.79829926168,-21.061200654888
41,"N",115.79829926168,-21.061200654888,115.807899062077,-21.0642796858031
42,"N",115.807899062077,-21.0642796858031,115.798250888471,-21.0672230435297
43,"O",115.904185064687,-21.0589054460975,115.894538854582,-21.061854379694
44,"O",115.894538854582,-21.061854379694,115.904140958528,-21.0649280606957
45,"O",115.904140958528,-21.0649280606957,115.894494353391,-21.0678769726223
46,"P",115.827335859219,-21.0403238805877,115.817689578095,-21.0432684419075
47,"P",115.817689578095,-21.0432684419075,115.827288705922,-21.0463463475882
48,"P",115.827288705922,-21.0463463475882,115.817642029687,-21.0492908858758
49,"Q",115.991470476203,-20.9600656619879,115.98183219263,-20.9630199181284
50,"Q",115.98183219263,-20.9630199181284,115.991430091393,-20.9660885158554
51,"Q",115.991430091393,-20.9660885158554,115.981791415624,-20.9690427518973
52,"R",115.730268325862,-21.1389993344284,115.720613956463,-21.1419379337434
53,"R",115.720613956463,-21.1419379337434,115.730217007691,-21.1450215128353
54,"R",115.730217007691,-21.1450215128353,115.720562240282,-21.1479600873693
55,"S",115.857780447377,-20.832740703468,115.848148175187,-20.8356877049681
56,"S",115.848148175187,-20.8356877049681,115.857735013594,-20.8387633818148
57,"S",115.857735013594,-20.8387633818148,115.848102351231,-20.8417103608678
58,"T",115.808306331091,-21.0130890443551,115.798661516103,-21.0160326007514
59,"T",115.798661516103,-21.0160326007514,115.808258480622,-21.0191114891353
60,"T",115.808258480622,-21.0191114891353,115.79861327102,-21.0220550221668
