"transect","strata","x.start","y.start","x.end","y.end"
1,"A",115.672014294271,-21.192754456014,115.662355418735,-21.1956894703129
2,"A",115.662355418735,-21.1956894703129,115.671960472448,-21.198776456651
3,"A",115.671960472448,-21.198776456651,115.662301197286,-21.2017114451195
4,"B",115.797596175533,-21.148524861648,115.787942292294,-21.1514673335757
5,"B",115.787942292294,-21.1514673335757,115.797547554116,-21.1545471867631
6,"B",115.797547554116,-21.1545471867631,115.787893273087,-21.1574896351058
7,"C",115.674257743825,-20.9398264520189,115.66461552736,-20.9427625490631
8,"C",115.66461552736,-20.9427625490631,115.674204714829,-20.9458486373459
9,"C",115.674204714829,-20.9458486373459,115.664562104555,-20.9487847086586
10,"D",115.944014148102,-20.8694324701648,115.93438093895,-20.8723842826426
11,"D",115.93438093895,-20.8723842826426,115.94397206314,-20.8754552975355
12,"D",115.94397206314,-20.8754552975355,115.934338463545,-20.8784070890898
13,"E",115.643119107496,-21.1925248856796,115.63345977666,-21.195458218011
14,"E",115.63345977666,-21.195458218011,115.643064115449,-21.1985468149456
15,"E",115.643064115449,-21.1985468149456,115.633404384805,-21.2014801209321
16,"F",115.866167818391,-20.9954158306335,115.856525119513,-20.9983627787462
17,"F",115.856525119513,-20.9983627787462,115.866122332859,-21.0014384119888
18,"F",115.866122332859,-21.0014384119888,115.856479240152,-21.0043853377691
19,"G",115.838075854085,-20.8958489875382,115.828439168589,-20.8987946518193
20,"G",115.828439168589,-20.8987946518193,115.838029483536,-20.9018715796466
21,"G",115.838029483536,-20.9018715796466,115.8283924063,-20.9048172211172
22,"H",115.94363484476,-20.9236377609638,115.933998116668,-20.9265893850599
23,"H",115.933998116668,-20.9265893850599,115.943592625086,-20.9296605494348
24,"H",115.943592625086,-20.9296605494348,115.933955505313,-20.9326121525898
25,"I",115.642126285215,-21.3009189345551,115.632459736524,-21.303851792309
26,"I",115.632459736524,-21.303851792309,115.64207094409,-21.3069407840077
27,"I",115.64207094409,-21.3069407840077,115.632403993083,-21.3098736153732
28,"J",115.673779805543,-20.9940259623356,115.664134039829,-20.9969618277125
29,"J",115.664134039829,-20.9969618277125,115.673726607165,-21.0000481082405
30,"J",115.673726607165,-21.0000481082405,115.6640804464,-21.0029839478648
31,"K",115.760947823749,-20.9224097460629,115.75130814602,-20.9253508928058
32,"K",115.75130814602,-20.9253508928058,115.760898306853,-20.9284321486974
33,"K",115.760898306853,-20.9284321486974,115.751258236275,-20.9313732712536
34,"L",115.895425579833,-20.9414016074639,115.885786888293,-20.9443504116463
35,"L",115.885786888293,-20.9443504116463,115.895381392611,-20.9474242873429
36,"L",115.895381392611,-20.9474242873429,115.885742308667,-20.9503730697241
37,"M",115.644023683896,-21.0931624148154,115.634370929843,-21.0960961814898
38,"M",115.634370929843,-21.0960961814898,115.643969010827,-21.0991844169486
39,"M",115.643969010827,-21.0991844169486,115.634315859257,-21.1021181573179
40,"N",115.635057673086,-21.0208211119243,115.625409529016,-21.0237546381504
41,"N",115.625409529016,-21.0237546381504,115.635002845243,-21.0268431427963
42,"N",115.635002845243,-21.0268431427963,115.625354305257,-21.0297766425749
43,"O",115.972172970148,-20.9689850200353,115.962533778444,-20.9719381426581
44,"O",115.962533778444,-20.9719381426581,115.972131793519,-20.9750078313688
45,"O",115.972131793519,-20.9750078313688,115.962492209287,-20.9779609335484
46,"P",116.049918310357,-20.8429487058999,116.040288606044,-20.8459066403216
47,"P",116.040288606044,-20.8459066403216,116.049880498194,-20.848971747807
48,"P",116.049880498194,-20.848971747807,116.04025040474,-20.8519296631905
49,"Q",115.633653494628,-21.1743815229341,115.623995211425,-21.1773143739944
50,"Q",115.623995211425,-21.1773143739944,115.633598171001,-21.1804034413439
51,"Q",115.633598171001,-21.1804034413439,115.623939488347,-21.1833362658951
52,"R",115.665281715366,-20.8674851851155,115.655644065044,-20.8704210394138
53,"R",115.655644065044,-20.8704210394138,115.66522852908,-20.8735073993532
54,"R",115.66522852908,-20.8735073993532,115.655590486542,-20.8764432277773
55,"S",115.924982867825,-20.8422101387122,115.915351099885,-20.8451609483515
56,"S",115.915351099885,-20.8451609483515,115.924940085573,-20.8482329478171
57,"S",115.924940085573,-20.8482329478171,115.915307927683,-20.8511837362006
58,"T",116.087760728372,-20.9425383580222,116.078125235264,-20.9454981789476
59,"T",116.078125235264,-20.9454981789476,116.08772423242,-20.9485613948133
60,"T",116.08772423242,-20.9485613948133,116.078088348155,-20.9515211973537
